Sketch: C:\Users\ìSòN\Google ÉhÉâÉCÉu\ëÂäw\çuã`éëóø\ÇQÇOÇPÇSîNìxëOä˙\èÓïÒï\åª\êiíªÅAÇ«Ç§Ç≈Ç∑Ç©ÅH\sketch____, 2014-07-16 21:37:57.921
Comma in error msg is substituted with ^ symbol
For separating arguments in error args | symbol is used
ERROR TYPE, ERROR ARGS, ERROR MSG
UnresolvedVariable,{convert},convert cannot be resolved to a variable
UndefinedName,{cp5},cp5 cannot be resolved
UnresolvedVariable,{cp5},cp5 cannot be resolved to a variable
UndefinedType,{da},da cannot be resolved to a type
UnresolvedVariable,{da},da cannot be resolved to a variable
UndefinedType,{data},data cannot be resolved to a type
UnresolvedVariable,{data},data cannot be resolved to a variable
UndefinedType,{data.length},data.length cannot be resolved to a type
UnresolvedVariable,{data_},data_ cannot be resolved to a variable
UnresolvedVariable,{data_s},data_s cannot be resolved to a variable
UndefinedType,{data_sa},data_sa cannot be resolved to a type
UnresolvedVariable,{data_sa},data_sa cannot be resolved to a variable
UnresolvedVariable,{data_sav},data_sav cannot be resolved to a variable
UndefinedType,{data_save},data_save cannot be resolved to a type
UnresolvedVariable,{datae},datae cannot be resolved to a variable
UnresolvedVariable,{datasave},datasave cannot be resolved to a variable
UnresolvedVariable,{ddata_save},ddata_save cannot be resolved to a variable
UnresolvedVariable,{ddead},ddead cannot be resolved to a variable
UnresolvedVariable,{de_save},de_save cannot be resolved to a variable
UnresolvedVariable,{dea},dea cannot be resolved to a variable
UnresolvedVariable,{dead},dead cannot be resolved to a variable
UnresolvedVariable,{dead_},dead_ cannot be resolved to a variable
UnresolvedVariable,{dead_sum},dead_sum cannot be resolved to a variable
UnresolvedVariable,{i},i cannot be resolved to a variable
UnresolvedVariable,{lata},lata cannot be resolved to a variable
UnresolvedVariable,{llines},llines cannot be resolved to a variable
UndefinedType,{llines.length},llines.length cannot be resolved to a type
UnresolvedVariable,{loata},loata cannot be resolved to a variable
UndefinedType,{log.length},log.length cannot be resolved to a type
UnresolvedVariable,{logDta},logDta cannot be resolved to a variable
UnresolvedVariable,{log_llines},log_llines cannot be resolved to a variable
UnresolvedVariable,{logata},logata cannot be resolved to a variable
UnresolvedVariable,{logdata},logdata cannot be resolved to a variable
UnresolvedVariable,{loglines},loglines cannot be resolved to a variable
UndefinedType,{loglines.length},loglines.length cannot be resolved to a type
UnresolvedVariable,{logllines},logllines cannot be resolved to a variable
UnresolvedVariable,{memory},memory cannot be resolved to a variable
UnresolvedVariable,{mi},mi cannot be resolved to a variable
UnresolvedVariable,{mous},mous cannot be resolved to a variable
UnresolvedVariable,{save},save cannot be resolved to a variable
UnresolvedVariable,{sec},sec cannot be resolved to a variable
UnresolvedVariable,{ydat},ydat cannot be resolved to a variable
